21/03/22 04:04:06: ConnectWeighingDevice: success
21/03/22 04:04:09: ConnectWeighingDevice: success
21/03/22 04:04:09: HandleDataReceive: signal: =
21/03/22 04:04:09: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:04:10: HandleDataReceive: signal: -=0.0000-=0.0000-=0.00000=0.00000=0.0000-=0.0000-=0.0000-
21/03/22 04:04:11: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.00000=0.00000=0.00000=0.00000=0.000
21/03/22 04:04:12: HandleDataReceive: signal: 0-=0.00000=0.00000=0.00000=0.0000-=0.00000=0.00000=0.0000-
21/03/22 04:04:13: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:04:13: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:13: GetCacheItem: Value: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:13: GetWeighingValue: weight: 0
21/03/22 04:04:14: HandleDataReceive: signal: =0.00000=0.00000=0.00000=0.00000=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:04:15: HandleDataReceive: signal: 000=0.00000=0.00000=0.00000=0.00000=0.00000=0.00000=0.00000
21/03/22 04:04:16: HandleDataReceive: signal: =0.00000=0.00000=0.00000=0.00000=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:04:17: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:17: GetCacheItem: Value: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:17: GetWeighingValue: weight: 0
21/03/22 04:04:17: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:04:18: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.00000=0.00000=0.00000=0.00000
21/03/22 04:04:19: HandleDataReceive: signal: =0.0000-=0.0000-=0.00000=0.0000-=1.00000=1.10000=4.20000=4
21/03/22 04:04:19: GetCacheItem: Value: =0.0000-=0.0000-=0.00000=0.0000-=1.00000=1.10000=4.20000=4
21/03/22 04:04:19: GetWeighingValue: weight: 0
21/03/22 04:04:20: HandleDataReceive: signal: .40000=3.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6000
21/03/22 04:04:21: HandleDataReceive: signal: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:21: HandleDataReceive: signal: 7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6000
21/03/22 04:04:22: HandleDataReceive: signal: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:22: GetCacheItem: Value: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:22: GetWeighingValue: weight: 6.7
21/03/22 04:04:23: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.600
21/03/22 04:04:24: HandleDataReceive: signal: 00=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:25: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60
21/03/22 04:04:25: HandleDataReceive: signal: 000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:25: GetCacheItem: Value: 000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:25: GetWeighingValue: weight: 6.7
21/03/22 04:04:26: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6
21/03/22 04:04:27: HandleDataReceive: signal: 0000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:28: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.
21/03/22 04:04:29: HandleDataReceive: signal: 60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:29: GetCacheItem: Value: 60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:29: GetWeighingValue: weight: 6.7
